combo_id,enrollment_1,enrollment_2,enrollment_3,run_name,learning_rate,epoch,sample_count,zero_shot_mean,sft_mean,sft_minus_zero
3,010.wav,020.wav,050.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,4,20,0.7079053874630011,0.7143464291606071,0.006441041697605954
3,010.wav,020.wav,050.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,5,20,0.7079053874630011,0.7223815500068422,0.014476162543841098
3,010.wav,020.wav,050.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,20,0.7079053874630011,0.729764855404888,0.021859467941886868
3,010.wav,020.wav,050.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,7,20,0.7079053874630011,0.7233216082484094,0.015416220785408274
3,010.wav,020.wav,050.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,0,20,0.7079053874630011,0.720871480942824,0.012966093479822915
3,010.wav,020.wav,050.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,1,20,0.7079053874630011,0.7270233352191288,0.01911794775612763
3,010.wav,020.wav,050.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,2,20,0.7079053874630011,0.7105363090250231,0.0026309215620219373
3,010.wav,020.wav,050.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,3,20,0.7079053874630011,0.7267990825597668,0.01889369509676564
3,010.wav,020.wav,050.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,4,20,0.7079053874630011,0.7160489595826051,0.008143572119603926
3,010.wav,020.wav,050.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,5,20,0.7079053874630011,0.7074802459799735,-0.00042514148302763566
3,010.wav,020.wav,050.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,6,20,0.7079053874630011,0.7216172348358852,0.013711847372884112
3,010.wav,020.wav,050.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,7,20,0.7079053874630011,0.7123575978792371,0.004452210416236002
3,010.wav,020.wav,050.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,0,20,0.7079053874630011,0.7253374530972853,0.017432065634284122
3,010.wav,020.wav,050.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,1,20,0.7079053874630011,0.7224354475824991,0.014530060119497978
3,010.wav,020.wav,050.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,2,20,0.7079053874630011,0.7203280482446278,0.012422660781626682
3,010.wav,020.wav,050.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,3,20,0.7079053874630011,0.7245958830536923,0.016690495590691135
3,010.wav,020.wav,050.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,4,20,0.7079053874630011,0.7279692201041952,0.020063832641194046
3,010.wav,020.wav,050.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,20,0.7079053874630011,0.7217946918209295,0.013889304357928345
3,010.wav,020.wav,050.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,6,20,0.7079053874630011,0.7201324217189867,0.012227034255985592
3,010.wav,020.wav,050.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,7,20,0.7079053874630011,0.7161190330251551,0.008213645562153982
4,010.wav,020.wav,060.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,0,20,0.6908209173238498,0.6826624942224176,-0.00815842310143211
4,010.wav,020.wav,060.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,1,20,0.6908209173238498,0.6875977867928009,-0.0032231305310488345
4,010.wav,020.wav,060.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,2,20,0.6908209173238498,0.690514727116523,-0.00030619020732680635
4,010.wav,020.wav,060.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,20,0.6908209173238498,0.6971207992477818,0.006299881923932049
4,010.wav,020.wav,060.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,4,20,0.6908209173238498,0.677677394402516,-0.013143522921333806
4,010.wav,020.wav,060.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,5,20,0.6908209173238498,0.6880501137665679,-0.0027708035572818757
4,010.wav,020.wav,060.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,20,0.6908209173238498,0.6949178587512289,0.004096941427379153
4,010.wav,020.wav,060.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,7,20,0.6908209173238498,0.6877134861355318,-0.0031074311883179107
4,010.wav,020.wav,060.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,0,20,0.6908209173238498,0.6860195473025623,-0.004801370021287443
4,010.wav,020.wav,060.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,1,20,0.6908209173238498,0.6890879054656551,-0.001733011858194633
4,010.wav,020.wav,060.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,2,20,0.6908209173238498,0.6737743755912112,-0.01704654173263853
4,010.wav,020.wav,060.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,3,20,0.6908209173238498,0.6916631001193818,0.0008421827955320538
4,010.wav,020.wav,060.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,4,20,0.6908209173238498,0.6806266026291411,-0.010194314694708662
4,010.wav,020.wav,060.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,5,20,0.6908209173238498,0.6698779699829506,-0.020942947340899187
4,010.wav,020.wav,060.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,6,20,0.6908209173238498,0.6846874598786465,-0.0061334574452032165
4,010.wav,020.wav,060.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,7,20,0.6908209173238498,0.6747753463160899,-0.01604557100775983
4,010.wav,020.wav,060.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,0,20,0.6908209173238498,0.6869210843284911,-0.0038998329953586763
4,010.wav,020.wav,060.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,1,20,0.6908209173238498,0.6847368642656022,-0.006084053058247552
4,010.wav,020.wav,060.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,2,20,0.6908209173238498,0.6863043465918052,-0.004516570732044589
4,010.wav,020.wav,060.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,3,20,0.6908209173238498,0.6884176202706459,-0.0024032970532038567
4,010.wav,020.wav,060.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,4,20,0.6908209173238498,0.6902600632667958,-0.0005608540570539722
4,010.wav,020.wav,060.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,20,0.6908209173238498,0.6825017817607829,-0.008319135563066848
