rank,enrollment_1,enrollment_2,enrollment_3,zero_shot_mean,sft_mean,sft_minus_zero,zero_change_vs_010_020_030
41,030.wav,040.wav,090.wav,0.7153224052542418,0.6714511908414424,-0.0438712144127994,-0.012517645853499682
42,050.wav,060.wav,090.wav,0.715425626563075,0.6731275617607421,-0.04229806480233289,-0.012414424544666569
43,020.wav,060.wav,070.wav,0.7157908423969909,0.6717251101627887,-0.04406573223420218,-0.012049208710750658
44,010.wav,020.wav,090.wav,0.7159674733498118,0.6698452890280556,-0.04612218432175619,-0.011872577757929714
45,010.wav,070.wav,090.wav,0.7161591510031844,0.680768688828501,-0.035390462174683446,-0.011680900104557135
46,020.wav,030.wav,060.wav,0.7161642536448971,0.6715309958218784,-0.044633257823018746,-0.011675797462844417
47,030.wav,060.wav,070.wav,0.7163559312982698,0.6824543956223238,-0.033901535675946004,-0.011484119809471727
48,010.wav,080.wav,100.wav,0.7163659489541209,0.6718501356456278,-0.04451581330849308,-0.011474102153620658
49,010.wav,030.wav,090.wav,0.7165325622510906,0.6805745744875907,-0.0359579877634999,-0.011307488856650894
50,040.wav,060.wav,100.wav,0.7166995114783393,0.6618344995611677,-0.054865011917171636,-0.011140539629402202
51,020.wav,040.wav,080.wav,0.7173360502005126,0.6662844433553662,-0.051051606845146424,-0.010504000907228916
52,040.wav,070.wav,080.wav,0.7175277278538853,0.6772078431558115,-0.040319884698073793,-0.010312323253856226
53,030.wav,040.wav,080.wav,0.7179011391017917,0.6770137288149013,-0.04088741028689036,-0.009938912005949874
54,010.wav,060.wav,100.wav,0.7179096684751881,0.6709578832073159,-0.04695178526787225,-0.009930382632553414
55,050.wav,060.wav,080.wav,0.7180043604106247,0.6786900997342009,-0.03931426067642374,-0.009835690697116872
56,010.wav,020.wav,080.wav,0.7185462071973614,0.6754078270015144,-0.04313838019584704,-0.009293843910380128
57,010.wav,070.wav,080.wav,0.7187378848507341,0.6863312268019598,-0.032406658048774295,-0.009102166257007438
58,020.wav,040.wav,060.wav,0.7188797697215797,0.6653921909170541,-0.05348757880452559,-0.008960281386161784
59,040.wav,060.wav,070.wav,0.7190714473749523,0.6763155907174996,-0.04275585665745274,-0.008768603732789204
60,010.wav,030.wav,080.wav,0.7191112960986402,0.6861371124610495,-0.03297418363759075,-0.008728755009101308
61,010.wav,040.wav,090.wav,0.7192480783277734,0.6744357695827664,-0.04481230874500697,-0.008591972779968149
62,030.wav,040.wav,060.wav,0.7194448586228587,0.6761214763765894,-0.043323382246269304,-0.008395192484882852
63,010.wav,020.wav,060.wav,0.7200899267184285,0.6745155745632024,-0.045574352155226094,-0.007750124389312996
64,010.wav,060.wav,070.wav,0.7202816043718011,0.6854389743636479,-0.03484263000815324,-0.007558446735940416
65,050.wav,090.wav,100.wav,0.7204304038078687,0.6794319877376737,-0.040998416070195054,-0.0074096472998728125
66,010.wav,030.wav,060.wav,0.7206550156197075,0.6852448600227374,-0.03541015559697003,-0.007185035488034064
67,020.wav,070.wav,100.wav,0.7207956196417845,0.6780295361397203,-0.042766083502064234,-0.007044431465957013
68,020.wav,030.wav,100.wav,0.7211690308896909,0.67783542179881,-0.04333360909088091,-0.006671020218050661
69,030.wav,070.wav,100.wav,0.7213607085430634,0.6887588215992553,-0.03260188694380817,-0.006479342564678081
70,010.wav,040.wav,080.wav,0.721826812175323,0.6799983075562253,-0.041828504619097706,-0.006013238932418563
71,020.wav,050.wav,090.wav,0.7226106620511091,0.6829896790935601,-0.03962098295754901,-0.005229389056632394
72,050.wav,070.wav,090.wav,0.7228023397044817,0.6939130788940057,-0.028889260810476047,-0.005037711403259815
73,050.wav,080.wav,100.wav,0.7230091376554183,0.6849945257111325,-0.03801461194428579,-0.004830913452323227
74,030.wav,050.wav,090.wav,0.7231757509523881,0.6937189645530952,-0.029456786399292834,-0.004664300155353462
75,010.wav,040.wav,060.wav,0.7233705316963901,0.6791060551179132,-0.044264476578476875,-0.00446951941135143
76,020.wav,030.wav,070.wav,0.7235409667863039,0.6923165129551418,-0.031224453831162013,-0.004299084321437663
77,020.wav,040.wav,100.wav,0.7238845469663734,0.6716966168939856,-0.052187930072387756,-0.003955504141368138
78,040.wav,070.wav,100.wav,0.7240762246197461,0.6826200166944311,-0.041456207925315014,-0.0037638264879954475
79,030.wav,040.wav,100.wav,0.7244496358676523,0.6824259023535207,-0.04202373351413158,-0.0033904152400892063
80,050.wav,060.wav,100.wav,0.7245528571764854,0.6841022732728206,-0.04045058390366485,-0.003287193931256094
81,010.wav,020.wav,100.wav,0.7250947039632222,0.6808200005401339,-0.04427470342308826,-0.00274534714451935
82,020.wav,050.wav,080.wav,0.7251893958986587,0.688552217067019,-0.03663717883163975,-0.0026506552090828084
83,010.wav,070.wav,100.wav,0.7252863816165949,0.6917434003405795,-0.033542981276015404,-0.0025536694911466595
84,050.wav,070.wav,080.wav,0.7253810735520313,0.6994756168674643,-0.025905456684567008,-0.002458977555710229
85,010.wav,030.wav,100.wav,0.725659792864501,0.691549285999669,-0.03411050686483197,-0.0021802582432405293
86,030.wav,050.wav,080.wav,0.7257544847999376,0.6992815025265541,-0.026472982273383572,-0.0020855663078038766
